rating,place,aircraft ,aircraft 1,traveller_type ,traveller_type  1,seat_type,route ,route 1,date_flown,seat_comfort,cabin_staff_service,food_beverages,ground_service,value_for_money,entertainment
10,United States,A320,A320,Business,Business,Business Class,Paris CDG to London,Paris CDG to London,01-08-2017,3,1,-1,1,1,-1
1,United Kingdom,A320,A320,Solo Leisure,Solo Leisure,Economy Class,Gatwick to Paphos,Gatwick to Paphos,01-08-2017,1,1,1,2,2,1
3,Canada,A380,A380,Solo Leisure,Solo Leisure,Economy Class,Vancouver to London Heathrow,Vancouver to London Heathrow,01-08-2017,3,1,1,4,2,2
2,United Kingdom,A380,A380,Solo Leisure,Solo Leisure,Premium Economy,Vancouver to London,Vancouver to London,01-07-2017,2,1,1,3,3,1
1,United Kingdom,Boeing 767,Boeing 767,Couple Leisure,Couple Leisure,Economy Class,Athens to London ,Athens to London ,01-06-2017,1,2,-1,2,1,-1
2,United Kingdom,Unknown,,Couple Leisure,Couple Leisure,Economy Class,Catania to Gatwick,Catania to Gatwick,01-06-2017,2,1,1,1,1,-1
5,United Kingdom,A319,A319,Couple Leisure,Couple Leisure,Economy Class,Venice to Gatwick,Venice to Gatwick,01-07-2017,3,4,-1,3,3,-1
3,United States,Unknown,,Family Leisure,Family Leisure,Economy Class,Bucharest to London,Bucharest to London,01-07-2017,3,2,-1,1,1,-1
1,United Kingdom,Boeing 747,Boeing 747,Business,Business,Business Class,London Heathrow to Accra,London Heathrow to Accra,01-07-2017,1,2,1,1,1,1
3,United Kingdom,Boeing 777,Boeing 777,Family Leisure,Family Leisure,Economy Class,Gatwick to Orlando ,Gatwick to Orlando ,01-07-2017,4,3,2,1,3,3
2,United Kingdom,Boeing 777,Boeing 777,Solo Leisure,Solo Leisure,Business Class,San Diego to London,San Diego to London,01-07-2017,1,2,2,2,1,2
8,United Kingdom,A319,A319,Couple Leisure,Couple Leisure,Business Class,Pisa to London Gatwick,Pisa to London Gatwick,01-07-2017,3,4,3,3,5,-1
1,United Kingdom,Unknown,,Business,Business,Economy Class,Budapest to London,Budapest to London,01-07-2017,1,1,1,1,1,1
1,United Kingdom,Unknown,,Solo Leisure,Solo Leisure,Economy Class,Bangkok to Manchester,Bangkok to Manchester,01-08-2016,-1,-1,-1,1,3,-1
